path,p,m,spAveCard,method,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5,spSize,aveWidth,points_hypercube,pctSup,pctExt,spPctExt1,spPctExt2,spPctExt3,spPctExt4,spPctExt5,spAvePctExt,ubCard
alg1-prob-2-200|200|200|200-uuuu-4_2.json,2,4,200,u,1565,5,5,1560,252,310,39998,39999,39746,39689,1.7327,200,200,2,2,2,2,198,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,39717.5,1577558430,0.003194888178913738,0.003194888178913738,0.01,0.01,0.01,0.01,NA,0.01,1600000000
alg1-prob-2-200|200|200|200-uuuu-4_3.json,2,4,200,u,1924,5,5,1919,299,337,39998,39999,39699,39662,2.5924,200,200,2,2,2,2,198,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,39680.5,1574621100,0.002598752598752599,0.002598752598752599,0.01,0.01,0.01,0.01,NA,0.01,1600000000
alg1-prob-2-200|200|200|200-uuuu-4_4.json,2,4,200,u,1348,5,5,1343,284,242,39999,39999,39715,39757,1.3786,200,200,2,2,2,2,198,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,39736,1579028728,0.00370919881305638,0.00370919881305638,0.01,0.01,0.01,0.01,NA,0.01,1600000000
alg1-prob-2-200|200|200|200-uuuu-4_5.json,2,4,200,u,2088,5,5,2083,306,180,39999,39999,39693,39819,1.8088,200,200,2,2,2,2,198,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,39756,1580615080,0.0023946360153256703,0.0023946360153256703,0.01,0.01,0.01,0.01,NA,0.01,1600000000
alg1-prob-2-200|200|200|200|200-lllll-5_1.json,2,5,200,l,21229,NA,591,NA,7,5,49273,49372,49266,49367,8.6537,200,200,133,129,128,127,67,71,200,128,125,72,200,120,120,80,200,132,129,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49316.5,2432213256,NA,0.02783927646144425,0.64,0.635,0.625,0.6,0.645,0.629,320000000000
alg1-prob-2-200|200|200|200|200-lllll-5_2.json,2,5,200,l,20738,NA,594,NA,5,3,49405,49469,49400,49466,1.636,200,200,133,129,128,128,67,71,200,128,125,72,200,136,132,64,200,120,120,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49433,2443719267,NA,0.02864307069148423,0.64,0.64,0.625,0.66,0.6,0.633,320000000000
alg1-prob-2-200|200|200|200|200-lllll-5_3.json,2,5,200,l,21195,NA,595,NA,8,5,49353,49159,49345,49154,1.7012,200,200,131,133,125,129,69,67,200,129,127,71,200,129,128,71,200,120,120,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49249.5,2425602630,NA,0.028072658645907054,0.625,0.645,0.635,0.64,0.6,0.629,320000000000
alg1-prob-2-200|200|200|200|200-lllll-5_4.json,2,5,200,l,21031,NA,595,NA,7,4,49403,49355,49396,49351,1.6681,200,200,127,129,123,127,73,71,200,128,125,72,200,136,132,64,200,120,120,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49373.5,2437840744,NA,0.028291569587751416,0.615,0.635,0.625,0.66,0.6,0.627,320000000000
alg1-prob-2-200|200|200|200|200-lllll-5_5.json,2,5,200,l,21107,NA,597,NA,5,5,49297,49443,49292,49438,1.5819,200,200,133,129,129,128,67,71,200,128,125,72,200,120,120,80,200,132,129,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49365,2436996627,NA,0.028284455393945137,0.645,0.64,0.625,0.6,0.645,0.631,320000000000
alg1-prob-2-200|200|200|200|200-mmmmm-5_1.json,2,5,200,m,17034,238,54,16796,9,15,44871,43176,44862,43161,17.8425,200,200,16,11,14,11,184,189,200,15,13,185,200,14,13,186,200,11,11,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,44011.5,1936376806,0.013972055888223553,0.0031701303275801338,0.07,0.055,0.065,0.065,0.055,0.062,320000000000
alg1-prob-2-200|200|200|200|200-mmmmm-5_2.json,2,5,200,m,16491,241,52,16250,9,14,43412,43523,43403,43509,17.3661,200,200,16,11,14,11,184,189,200,14,13,186,200,11,11,189,200,13,11,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43456,1888508040,0.014614031896185799,0.0031532350979322056,0.07,0.055,0.065,0.055,0.055,0.060000000000000005,320000000000
alg1-prob-2-200|200|200|200|200-mmmmm-5_3.json,2,5,200,m,16844,392,44,16452,6,18,43263,42895,43257,42877,19.4294,200,200,10,11,8,11,190,189,200,11,9,189,200,14,13,186,200,13,11,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43067,1854816524,0.023272381857041082,0.002612206126810734,0.04,0.055,0.045,0.065,0.055,0.052,320000000000
alg1-prob-2-200|200|200|200|200-mmmmm-5_4.json,2,5,200,m,16896,620,57,16276,10,19,44924,45535,44914,45516,19.0357,200,200,16,11,14,9,184,189,200,14,13,186,200,22,18,178,200,11,11,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,45215,2044396055,0.03669507575757576,0.0033735795454545455,0.07,0.045,0.065,0.09,0.055,0.065,320000000000
alg1-prob-2-200|200|200|200|200-mmmmm-5_5.json,2,5,200,m,17579,390,51,17189,9,17,43775,43048,43766,43031,19.3939,200,200,16,10,14,8,184,190,200,11,11,189,200,15,13,185,200,14,13,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,43398.5,1883381544,0.022185562318675692,0.002901188918596052,0.07,0.04,0.055,0.065,0.065,0.059000000000000004,320000000000
alg1-prob-2-200|200|200|200|200-uuull-5_1.json,2,5,200,ul,6557,266,249,6291,214,46,49845,49845,49631,49799,4.075,200,200,131,128,125,125,69,72,200,2,2,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49715,2471673600,0.04056733262162574,0.0379746835443038,0.625,0.625,0.01,0.01,0.01,0.256,320000000000
alg1-prob-2-200|200|200|200|200-uuull-5_2.json,2,5,200,ul,6545,261,250,6284,262,246,49855,49822,49593,49576,2.804,200,200,127,129,123,128,73,71,200,2,2,198,200,2,2,198,200,2,2,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,49584.5,2458721738,0.039877769289533994,0.03819709702062643,0.615,0.64,0.01,0.01,0.01,0.257,320000000000
